region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EUR,IBS,HG01607,HG01607,0.0099,0.0402,-0.0193,-0.0202,-0.0001,-0.0135,-0.0179,-0.0007,0.0127,0.0099,-0.0196,0.0007,-0.0166,-0.0199,-0.0144
EUR,IBS,HG01608,HG01608,0.0083,0.0409,-0.018,-0.0217,0.0034,0.0009,-0.0141,0.0183,-0.0041,-0.0159,0.0008,-0.0034,-0.0019,-0.0088,0.0083
EUR,IBS,HG01610,HG01610,0.0096,0.0406,-0.0187,-0.026,0.001,-0.0255,-0.0075,-0.006,0.0059,-0.0021,0.0056,-0.0043,0.009,-0.0094,0.0021
EUR,IBS,HG01612,HG01612,0.0076,0.0403,-0.0195,-0.0231,0.0011,-0.0064,-0.0169,0.0031,0.0096,-0.0113,-0.0049,0.003,-0.0092,-0.0069,-0.0137
EUR,IBS,HG01613,HG01613,0.0102,0.0412,-0.0204,-0.016,-0.0009,-0.0163,-0.0156,0.002,-0.005,-0.0013,-0.0273,-0.0033,-0.0168,-0.0063,-0.0097
EUR,IBS,HG01615,HG01615,0.0093,0.0403,-0.0205,-0.0171,-0.0004,0.0035,-0.0291,0.0095,-0.0019,0.0104,-0.0043,0.0013,-0.0019,-0.0149,0.0004
EUR,IBS,HG01617,HG01617,0.0096,0.0389,-0.017,-0.0216,-0.002,-0.0042,-0.0258,0.0096,-0.0092,-0.0018,-0.0109,0.0276,-0.0159,-0.0324,0.0053
EUR,IBS,HG01618,HG01618,0.0093,0.0396,-0.0169,-0.0187,0.0112,0.0086,-0.0204,-0.0007,-0.0068,0.0002,-0.0009,-0.0056,0.0007,-0.0356,-0.0117
EUR,IBS,HG01619,HG01619,0.0084,0.0404,-0.0193,-0.0173,0.0073,0.0003,-0.0255,0.0022,0.0142,0.0101,-0.0071,-0.0147,0.0072,-0.0239,-0.0098
EUR,IBS,HG01620,HG01620,0.0095,0.0402,-0.0193,-0.021,0.0024,-0.0178,-0.0299,0.0054,-0.0128,0.0034,-0.0092,0.0211,-0.0093,-0.0152,-0.008
EUR,IBS,HG01623,HG01623,0.0088,0.0401,-0.0171,-0.022,0.0064,-0.0032,-0.0289,0.0041,0.0254,-0.0189,-0.0167,0.0285,-0.0119,-0.0105,-0.0109
EUR,IBS,HG01624,HG01624,0.0091,0.0394,-0.0198,-0.0258,0.0043,-0.0286,-0.0302,-0.0014,0.0196,-0.004,-0.0016,-0.0062,0.0035,-0.0208,0.0169
EUR,IBS,HG01625,HG01625,0.0093,0.04,-0.0184,-0.02,0.0035,0.0053,0.0089,-0.0063,0.0206,-0.0046,-0.0116,0.0033,0.0119,-0.0071,-0.0084
EUR,IBS,HG01626,HG01626,0.0086,0.0386,-0.0213,-0.0205,0.0008,-0.0089,-0.024,0.0137,0.0051,0.0207,-0.0089,0.0037,0.0173,0.0046,-0.0182
EUR,IBS,HG01628,HG01628,0.0044,0.0377,-0.017,-0.0197,-0.0077,-0.0089,0.0082,0.0082,-0.0085,0.0076,-0.0243,0.0273,0.0183,-0.0189,0.0203
EUR,IBS,HG01630,HG01630,0.0072,0.0368,-0.0192,-0.0187,0.0066,-0.0225,-0.0327,-0.019,0.0003,-0.0138,-0.0182,0.0062,-0.0025,-0.023,-0.0049
EUR,IBS,HG01631,HG01631,0.0092,0.0402,-0.0182,-0.0231,0.0025,0.0045,0.0015,-0.0092,-0.0098,0.0027,-0.0148,-0.0118,0.0182,-0.0128,-0.0155
EUR,IBS,HG01632,HG01632,0.0091,0.0411,-0.0193,-0.0244,0.006,-0.0167,-0.0073,0.0,0.0017,0.0164,-0.0208,0.0045,0.0045,-0.024,-0.0066
EUR,IBS,HG01668,HG01668,0.0082,0.0396,-0.0184,-0.0148,-0.0039,0.0083,-0.0107,0.0131,0.0135,-0.005,-0.0004,-0.0057,-0.0097,0.0037,-0.0187
EUR,IBS,HG01669,HG01669,0.0066,0.0393,-0.0173,-0.021,-0.0028,0.004,-0.0319,0.0068,0.0034,0.0144,-0.0149,0.0275,0.0071,-0.0019,-0.0104
EUR,IBS,HG01670,HG01670,0.0089,0.0416,-0.0206,-0.0203,0.0058,0.0088,-0.0121,0.0117,0.0208,-0.002,-0.0158,0.0231,-0.0163,-0.0041,0.0039
EUR,IBS,HG01672,HG01672,0.0103,0.0406,-0.0172,-0.018,-0.0008,0.0112,-0.0223,0.0134,0.0075,-0.0018,-0.0068,-0.0021,0.0127,0.0003,0.0054
