region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19350,NA19350,0.055633521639375655,0.007491413084400072,0.0309,0.0014,0.0114,-0.0204,-0.0426,0.0266,0.0102,-0.0285,-0.0368,-0.0163,0.0099,0.0163,-0.0005
AFR,LWK,NA19351,NA19351,0.05689432772228627,-0.0027487220719977974,0.0242,-0.0081,0.0029,0.0214,-0.0261,-0.037,-0.0078,0.0258,-0.004,0.0194,-0.0053,-0.0007,-0.0027
AFR,LWK,NA19355,NA19355,0.055384903864725894,0.0004608946680862225,-0.0136,-0.0186,-0.0263,0.013,-0.0381,-0.0008,-0.0048,0.0095,-0.0422,-0.0098,0.0222,-0.0046,-0.0081
AFR,LWK,NA19360,NA19360,0.0541454408390358,-0.0005208035584310425,-0.0051,-0.0146,0.0088,0.013,0.0246,0.0055,0.0058,0.0114,-0.003,-0.0152,-0.0232,0.0118,-0.0565
AFR,LWK,NA19372,NA19372,0.05566837921931495,0.00228288306633156,-0.0011,0.0007,-0.0047,0.0123,-0.0203,-0.0036,0.0313,0.0276,0.0797,-0.0092,0.0032,0.0098,0.0081
AFR,LWK,NA19374,NA19374,0.05760540587192259,-0.006009759922914248,0.0451,-0.0047,-0.0248,-0.0262,0.0136,0.0061,-0.0125,-0.0017,0.0046,-0.0225,-0.0187,-0.0273,0.0358
AFR,LWK,NA19375,NA19375,0.04916863544221857,-0.0010417719281147616,0.032,0.036,-0.0103,0.032,-0.0127,-0.0301,-0.0325,0.0046,-0.0169,0.0214,0.0343,-0.0076,-0.0172
AFR,LWK,NA19376,NA19376,0.05606656320576097,-0.007010741065993675,0.0155,0.0155,0.0312,-0.0139,-0.0088,-0.0156,-0.0011,0.026,-0.021,0.0068,-0.0191,-0.0348,-0.0017
AFR,LWK,NA19377,NA19377,0.05352706901902526,-0.003366434646997663,0.0102,-0.0154,-0.0313,-0.0334,0.0022,0.0151,-0.0096,0.0098,-0.0317,0.0258,-0.0044,-0.0363,0.0447
AFR,LWK,NA19378,NA19378,0.05785369402406701,-0.0020856864025142145,-0.0127,-0.012,0.0192,0.0453,-0.0096,0.0353,0.0254,-0.0448,0.0047,-0.0317,-0.0088,0.0149,-0.0147
AFR,LWK,NA19379,NA19379,0.057541459105887385,-0.0019053828920953643,-0.0479,-0.0267,0.0401,0.0019,0.0101,0.0113,-0.0168,-0.0165,-0.0501,-0.0207,-0.0268,0.0284,-0.0052
AFR,LWK,NA19380,NA19380,0.05713890762124567,-0.0034344192887232356,-0.0329,-0.0081,0.0132,0.0025,-0.0233,-0.0215,0.0444,-0.0017,-0.05,0.0045,-0.0157,0.0032,0.0108
AFR,LWK,NA19383,NA19383,0.05472796621159104,-0.0017859771395373593,-0.0174,-0.0114,-0.0231,0.0132,0.0417,-0.0083,0.0071,0.0258,-0.0073,-0.0058,-0.0057,0.0377,-0.0028
AFR,LWK,NA19384,NA19384,0.056262771002062284,-0.00850121162949722,0.0169,-0.0237,-0.0056,0.0214,0.0368,0.0448,-0.0211,0.0206,0.0169,0.0447,-0.0077,0.0025,0.038
AFR,LWK,NA19385,NA19385,0.06035157336950404,-0.003528114485865024,0.0183,0.005,0.0219,-0.0119,-0.0045,-0.0127,0.0157,-0.0033,-0.0233,0.0004,0.0254,-0.0169,-0.031
AFR,LWK,NA19390,NA19390,0.06032924144476752,-0.001625615790691341,0.0039,-0.0028,0.0065,-0.0007,-0.0033,-0.0091,0.0299,0.0197,0.0094,-0.0059,-0.0094,-0.056,0.0566
AFR,LWK,NA19391,NA19391,0.05709861126996832,0.011193238630577234,-0.069,0.0295,0.0122,0.0018,-0.0173,0.0009,-0.0112,-0.0205,-0.0237,0.0009,-0.0455,-0.0084,-0.0259
AFR,LWK,NA19393,NA19393,0.058665554254709845,0.003979038073164839,0.0181,0.0002,0.0412,-0.0208,0.0249,0.028,0.0087,-0.0443,-0.0299,0.0365,-0.0345,0.0208,-0.0093
AFR,LWK,NA19394,NA19394,0.05927008192949627,-0.002295079099028978,0.0134,0.0075,-0.0265,-0.0133,-0.0228,-0.0207,-0.0308,0.0258,0.0069,-0.0207,0.0039,0.0196,0.0472
AFR,LWK,NA19395,NA19395,0.05653470956896458,0.005946142779384397,-0.0062,0.0055,-0.0061,-0.0367,0.0067,-0.0137,-0.001,-0.039,-0.0014,-0.005,-0.0001,0.0153,0.0261
AFR,LWK,NA19397,NA19397,0.052977011463245634,0.0005062177625699367,0.0016,-0.0276,0.0242,-0.0148,0.0009,-0.0129,0.0394,-0.0324,-0.0143,-0.026,-0.0175,0.0001,0.029
AFR,LWK,NA19399,NA19399,0.06245769636734911,0.004223288349618896,0.0076,0.0306,0.0545,-0.0002,0.0129,0.0013,0.0069,-0.0245,0.0101,-0.0129,-0.0003,-0.0174,-0.0049
AFR,LWK,NA19401,NA19401,0.05517921942139616,0.0036542774997824377,0.0132,0.0351,-0.0233,-0.0388,0.0322,0.0438,0.017,-0.0226,0.0512,-0.004,-0.0401,-0.0186,-0.0142
AFR,LWK,NA19403,NA19403,0.0574315300003578,-0.006421788054584382,-0.0517,-0.0382,-0.0445,0.0459,0.0125,0.0241,0.0036,0.0218,0.01,-0.0044,-0.0254,0.033,-0.0297
AFR,LWK,NA19404,NA19404,0.05792472767396694,-7.696685499597195e-05,0.0039,-0.0261,-0.0013,-0.0058,0.0035,0.0318,0.0001,-0.0204,0.0167,0.0001,-0.0419,-0.0014,0.0083
AFR,LWK,NA19428,NA19428,0.059492329903719145,-0.0010782776205807338,-0.004,-0.0074,-0.0335,0.0083,-0.029,0.0074,-0.0619,-0.0241,0.0269,0.0109,0.0233,0.0168,0.0195
AFR,LWK,NA19429,NA19429,0.06328414239385306,-0.003940472240040495,-0.0054,-0.0068,0.0147,-0.0379,0.0032,-0.0176,0.007,0.0202,-0.023,-0.0036,0.0025,-0.019,-0.0148
AFR,LWK,NA19430,NA19430,0.0572620216269887,0.0039888443426985875,0.0356,-0.0164,0.0273,-0.0078,-0.0091,-0.004,0.0003,0.001,0.0032,-0.0331,0.0329,-0.0016,0.0088
AFR,LWK,NA19431,NA19431,0.05960159976423806,-0.0027747622499193487,0.0182,-0.0256,0.034,0.0004,-0.0092,0.0312,-0.0267,-0.0135,-0.0013,0.0009,0.0379,0.0084,0.0232
AFR,LWK,NA19434,NA19434,0.05417115139445201,-0.0009199764123930692,-0.0088,-0.0229,-0.0326,0.0313,-0.0038,-0.0063,-0.0154,-0.035,-0.0228,-0.026,-0.0227,-0.0168,-0.0036
AFR,LWK,NA19435,NA19435,0.05653644008711759,-0.008082755858973032,-0.0007,0.0229,0.017,0.0295,0.0329,-0.0716,-0.051,0.0261,-0.0006,-0.0399,0.0355,0.0113,-0.033
AFR,LWK,NA19436,NA19436,0.059705101230913604,0.0018414361260601776,-0.0207,0.0168,-0.0399,-0.0143,-0.0466,-0.0053,0.0103,-0.0121,-0.0298,0.0103,-0.018,0.0178,0.0049
AFR,LWK,NA19437,NA19437,0.053305150667307725,-0.0014767912295320894,0.0022,0.0146,-0.0223,-0.0129,0.0036,-0.024,-0.0061,-0.0078,0.0012,-0.0111,-0.0301,-0.011,0.0497
AFR,LWK,NA19438,NA19438,0.052541332916817625,-0.009843187254346852,-0.017,0.0047,-0.0067,-0.0198,0.023,-0.0033,-0.0156,0.0228,-0.0184,-0.0238,-0.0376,-0.0207,-0.0411
AFR,LWK,NA19439,NA19439,0.052013277663269186,-0.01097947843586675,-0.042,0.0294,0.0339,0.0225,-0.0049,0.075,0.0441,-0.0048,-0.023,0.0686,-0.0701,-0.0052,0.0143
AFR,LWK,NA19440,NA19440,0.06057991936007563,-0.005517551116821104,-0.0026,-0.0108,-0.0257,0.0057,-0.0342,0.0096,0.0062,0.011,0.0214,0.0286,0.0375,0.0341,0.0177
AFR,LWK,NA19443,NA19443,0.05554320507291357,0.0057820731773533494,0.0079,-0.0453,0.0102,0.0222,-0.0069,-0.0173,-0.048,0.0225,0.0094,-0.0703,0.0209,-0.0219,0.0137
AFR,LWK,NA19445,NA19445,0.05733849404822668,-0.0034215640110151274,-0.0134,-0.0077,-0.0347,0.0201,-0.0115,-0.0137,-0.007,-0.0035,-0.0526,-0.0064,0.0053,-0.0202,0.0128
AFR,LWK,NA19446,NA19446,0.0540943493507087,0.0033839870454068282,-0.0249,-0.0016,-0.0183,-0.0066,0.0019,0.0084,-0.0315,0.0292,-0.0224,0.0061,0.01,0.0516,-0.0284
AFR,LWK,NA19448,NA19448,0.05608584612232313,-0.007310120706465195,-0.0084,0.0276,0.0151,0.0174,0.0177,0.0084,-0.0144,-0.0209,0.0122,0.0476,0.0059,0.0067,0.0186
AFR,LWK,NA19449,NA19449,0.05981676085459621,-0.007671057349808233,-0.0097,0.0366,0.0086,-0.0124,-0.0048,-0.0193,0.0154,0.053,0.0266,0.0148,-0.0189,-0.0045,0.0109
AFR,LWK,NA19451,NA19451,0.058613144276361405,-0.004541950906652559,-0.0004,-0.0045,0.0706,0.0233,-0.0354,0.0118,0.0022,0.0017,-0.0047,-0.0338,0.0182,-0.0003,-0.01
AFR,LWK,NA19452,NA19452,0.05312822578756856,-0.00028570030650006345,-0.0306,0.0015,0.0144,-0.0009,0.012,0.0124,-0.0012,-0.0155,0.0377,0.0275,0.0482,0.0092,0.0565
AFR,LWK,NA19454,NA19454,0.05937020476549212,0.0008177934357388936,0.0172,-0.0031,0.0212,-0.0265,0.0143,-0.0165,-0.0203,0.028,-0.0272,0.0126,-0.0147,0.0281,0.0171
AFR,LWK,NA19455,NA19455,0.052445907201522826,0.0009730456357521997,-0.0007,0.0322,0.0793,0.0285,-0.0538,0.0159,-0.014,-0.0466,-0.0365,-0.018,0.0625,-0.0214,0.0658
AFR,LWK,NA19456,NA19456,0.06189008641316033,-0.005633578238699413,0.0073,0.0052,0.0063,-0.001,-0.0346,-0.0405,0.0299,0.0292,-0.0278,-0.0438,-0.014,0.0129,-0.0043
AFR,LWK,NA19457,NA19457,0.059076593518863976,-0.005514172486141409,-0.0355,0.0361,-0.0185,0.0284,0.0132,0.0237,0.0134,0.0047,-0.0008,0.0268,0.0295,-0.0272,-0.0222
