region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AFR,LWK,NA19438,NA19438,-0.0656,-0.0113,0.0018,0.06,-0.0069,-0.0085,-0.0002,-0.0225,0.0448,-0.0015,0.0492,-0.0006,-0.0108,-0.0151,-0.0318
AFR,LWK,NA19439,NA19439,-0.0643,-0.0119,0.001,0.0706,-0.0143,-0.0015,0.0088,-0.03,-0.0768,-0.0349,-0.0555,-0.0686,-0.0059,-0.0318,-0.0249
AFR,LWK,NA19440,NA19440,-0.066,-0.0116,0.0003,0.0736,0.0018,-0.0044,0.0136,-0.008,0.0422,-0.0112,0.0352,-0.0297,-0.0386,0.0551,0.0391
AFR,LWK,NA19443,NA19443,-0.0643,-0.0102,0.0044,0.0807,0.0077,0.0133,0.0255,0.0075,0.0203,-0.0213,-0.0043,0.088,-0.0138,-0.012,0.0937
AFR,LWK,NA19445,NA19445,-0.0653,-0.0107,0.0014,0.0692,0.0029,0.0006,0.0171,0.0107,-0.0185,0.013,0.0379,-0.0534,-0.0011,-0.052,-0.0518
AFR,LWK,NA19446,NA19446,-0.0657,-0.0107,0.0031,0.0784,0.0022,0.0064,-0.0036,-0.0012,0.0479,0.001,0.0946,-0.0201,-0.0024,-0.0371,-0.0744
AFR,LWK,NA19448,NA19448,-0.0641,-0.0111,0.0003,0.0674,0.0054,0.0119,0.0038,0.0528,0.0128,0.0018,0.0685,-0.0563,0.018,0.0248,0.023
AFR,LWK,NA19449,NA19449,-0.0652,-0.0121,0.002,0.0606,0.012,0.0201,-0.0136,0.0016,-0.0077,0.0122,0.0006,0.0148,0.0564,0.0232,0.0447
AFR,LWK,NA19451,NA19451,-0.0657,-0.0099,0.003,0.0816,0.003,-0.0079,0.0156,-0.0413,0.1036,0.0025,0.0196,-0.0163,0.1045,-0.0181,0.0696
AFR,LWK,NA19454,NA19454,-0.0642,-0.0108,0.0008,0.0653,0.007,-0.0045,-0.0039,0.0176,-0.0101,0.012,-0.0255,0.0643,-0.0608,0.0225,0.0011
AFR,LWK,NA19455,NA19455,-0.0648,-0.0093,0.0027,0.0546,0.0002,-0.0125,-0.021,0.056,0.0082,-0.0365,0.011,0.0246,0.0234,-0.0294,-0.0556
AFR,LWK,NA19456,NA19456,-0.0652,-0.0119,0.0039,0.0559,0.009,-0.0002,0.0009,-0.0064,0.0165,0.0346,-0.061,-0.056,-0.0225,0.0041,0.027
AFR,LWK,NA19457,NA19457,-0.0656,-0.0098,0.0002,0.0617,0.0058,0.0003,0.0143,0.0273,-0.0046,-0.0306,0.0467,0.0059,-0.0481,-0.0026,0.0409
AFR,LWK,NA19461,NA19461,-0.0648,-0.009,0.0015,0.0744,0.0037,0.012,-0.0505,-0.0493,0.0147,-0.0031,-0.0091,-0.0488,-0.0058,-0.0537,0.0009
AFR,LWK,NA19462,NA19462,-0.0651,-0.0122,0.002,0.0528,0.0133,0.0063,-0.0089,0.0447,0.0871,0.0459,0.01,0.0979,-0.1006,0.0717,0.015
AFR,LWK,NA19463,NA19463,-0.0636,-0.0107,0.0025,0.0721,0.0093,-0.0068,0.0005,-0.0094,-0.0401,-0.0429,-0.0486,-0.0153,-0.035,0.0068,0.008
AFR,LWK,NA19466,NA19466,-0.0639,-0.011,0.0024,0.0846,0.005,-0.0185,-0.0168,-0.0019,0.0251,-0.0354,0.0187,0.0001,-0.0144,0.0509,0.0585
AFR,LWK,NA19467,NA19467,-0.0638,-0.0107,-0.0003,0.0825,0.0143,0.0068,0.0349,0.0404,0.0223,0.0096,-0.0509,0.0215,0.0343,0.028,0.022
AFR,LWK,NA19468,NA19468,-0.0644,-0.0113,0.0028,0.0766,-0.0079,-0.0163,-0.0013,-0.0279,-0.0266,-0.0576,-0.0326,-0.0175,-0.0312,-0.0127,0.0347
